page,review_id,company,review_time_raw,review_title,employee_role,employee_history,employeer_pros,employeer_cons,employeer_rating,work_life_balance,culture_values,career_opportunities,compensation_and_benefits,senior_management,diversity_inclusion
1,empReview_30863763, Deutsche Bank,Fri Dec 13 2019 23:13:03 GMT-0800 (Pacific Standard Time),investment banking analyst,Former Employee - Investment Banking Analyst,I worked at Deutsche Bank full-time,"nice people, strong balance sheet, global presence","rumors, negative news, strategic transformation",5,4,4,4,5,4,NA
1,empReview_37665191, Deutsche Bank,Tue Oct 27 2020 06:51:28 GMT-0700 (Pacific Daylight Time),Great Environment,Current Employee - IT Security Analyst,I have been working at Deutsche Bank full-time for less than a year,Great Place to work. Awesome environment and benefits,Limited opportunity for job advancement,5,NA,NA,NA,NA,NA,NA
1,empReview_37624015, Deutsche Bank,Mon Oct 26 2020 09:55:59 GMT-0700 (Pacific Daylight Time),"Excellent Training, Always Moving",Current Employee - AML Analyst,I have been working at Deutsche Bank full-time,"Good training opportunity. Deutsche Bank AFC offers excellent training for all experience levels, and welcoming mentoring.","Deutsche Bank is undergoing a heavy amount of scrutiny from regulators. It's not an issue for those who adapt to change well, and one can definitely thrive in it, but just be aware there are growing pains.",5,NA,NA,NA,NA,NA,NA
1,empReview_37595183, Deutsche Bank,Sun Oct 25 2020 15:40:10 GMT-0700 (Pacific Daylight Time),"Good People, but rigid and frustrating processes.",Current Employee - IT Director,I have been working at Deutsche Bank full-time for more than 10 years,A lot of art people with a good attitude and ideas.,Some very rigid processes that make change harder than it should be.,4,5,4,4,5,NA,4
1,empReview_37384821, Deutsche Bank,Tue Oct 20 2020 09:45:52 GMT-0700 (Pacific Daylight Time),good company,Current Employee - Financial Analyst,I have been working at Deutsche Bank full-time,"good culture, good balance of work and life","low compensation, no annual increase for many years",4,NA,NA,NA,NA,NA,NA
1,empReview_37245612, Deutsche Bank,Fri Oct 16 2020 14:36:05 GMT-0700 (Pacific Daylight Time),Great work environment,Current Employee - Technology Analyst,I have been working at Deutsche Bank full-time,"Good benefits, opportunities, diverse crowd, wfh flexibility","Salary not too competitive, infrastructure for developers can be better",4,NA,NA,NA,NA,NA,NA
1,empReview_37228024, Deutsche Bank,Fri Oct 16 2020 07:17:52 GMT-0700 (Pacific Daylight Time),Decent company,Current Employee - Assistant Vice President,I have been working at Deutsche Bank full-time for more than 3 years,Global reach and team environment.,A lot of politics and bureaucracy that causes delays.,4,4,3,3,4,NA,3
1,empReview_37241445, Deutsche Bank,Fri Oct 16 2020 12:35:23 GMT-0700 (Pacific Daylight Time),Lots of opportunity,Current Employee - Vice President,I have been working at Deutsche Bank full-time,"Entrepreneurial culture
Good people who don't try to undermine / bring others down
Smart workforce","Reputation for being involved in scandals, and being the ""bank of trump"" even though most people at the bank are not supporters. Most of the bad actors have been cleared out, so it's a matter of time for those headlines improve and the reputation to recover.",4,4,4,5,4,NA,4
1,empReview_37159714, Deutsche Bank,Wed Oct 14 2020 19:55:20 GMT-0700 (Pacific Daylight Time),Deutsche Bank- India,Former Employee - Business Analyst,I worked at Deutsche Bank full-time,"Great place to work, good work life balance",Recent top management changes and re-structuring brought negative press and brief period of un-stability,4,NA,NA,NA,NA,NA,NA
1,empReview_37104993, Deutsche Bank,Tue Oct 13 2020 16:59:15 GMT-0700 (Pacific Daylight Time),good,Current Employee - Portfolio Associate,I have been working at Deutsche Bank full-time,i enjoy this job a lot,nothing to report. keep it up,4,4,4,3,3,NA,5
2,empReview_37055379, Deutsche Bank,Mon Oct 12 2020 15:50:17 GMT-0700 (Pacific Daylight Time),Great work/life balance,Former Employee - Associate Director,I worked at Deutsche Bank full-time for more than 5 years,Great place to work. Friendly people,career advancement is a bit slow,5,5,5,3,3,5,NA
2,empReview_37061307, Deutsche Bank,Mon Oct 12 2020 19:30:23 GMT-0700 (Pacific Daylight Time),Deutsche Bank Review,Current Employee - Risk Officer,I have been working at Deutsche Bank full-time for more than 5 years,High Base compared with other firms,"Communication within teams, management style",4,4,3,3,4,NA,3
2,empReview_36907758, Deutsche Bank,Thu Oct 08 2020 14:31:40 GMT-0700 (Pacific Daylight Time),not so stable company during this time,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 5 years,good number of vacation days,"will not pay for up-skill
lot of restructuring and letting people go",5,5,3,3,5,NA,2
2,empReview_36882984, Deutsche Bank,Thu Oct 08 2020 06:11:14 GMT-0700 (Pacific Daylight Time),DB,Current Employee - Vice President,I have been working at Deutsche Bank full-time,Good people to work with.,Limited career path with budget cuts,4,NA,NA,NA,NA,NA,NA
2,empReview_37404884, Deutsche Bank,Tue Oct 20 2020 17:19:50 GMT-0700 (Pacific Daylight Time),DB rating,Former Employee - Software Developer,I worked at Deutsche Bank full-time,"1. The graduate program - London training program and good network of people
2. More laid back compared to other financial firms","1. Big organization - lack of structure
2. Rotational program had teams who barely had proper work",3,NA,NA,NA,NA,NA,NA
2,empReview_37436258, Deutsche Bank,Wed Oct 21 2020 09:07:25 GMT-0700 (Pacific Daylight Time),Great comp and benefits,Current Employee - Vice President,I have been working at Deutsche Bank full-time,"Great benefits, especially time off",Poor company performance resulting in spotty bonuses,3,NA,NA,NA,NA,NA,NA
2,empReview_37389666, Deutsche Bank,Tue Oct 20 2020 11:20:55 GMT-0700 (Pacific Daylight Time),Good first job if you’re not looking for many exit opps,Former Employee - Analyst,I worked at Deutsche Bank full-time,"Training in London 
Good financial training overall
Salary/ benefits employer math 
Good people (not mgmt)","Massive, old dinosaur of Wall Street I don’t see it being around in 5-10 years 
still lots of clean up from 2008, horrible clients mgmt, unfettered capitalistic greed 
Little mobility for younger people because people stay so long, senior positions beneath basically exec board level roles are only marginally different than middle tier",3,4,2,3,5,NA,2
2,empReview_36719276, Deutsche Bank,Mon Oct 05 2020 06:41:58 GMT-0700 (Pacific Daylight Time),Corporate Banking,Current Employee - Analyst,I have been working at Deutsche Bank full-time for more than a year,Great people and receive a lot of responsibility. Great place to work,There are no negatives working here,5,5,5,5,5,NA,5
2,empReview_37301137, Deutsche Bank,Sun Oct 18 2020 17:11:53 GMT-0700 (Pacific Daylight Time),Not terrible but not great,Former Employee - Vice President,I worked at Deutsche Bank full-time,"Benefits, flexibility, people. Lots of bureaucracy but that's expected for a large bank.",Hard to get promoted. Bonuses were weak.,3,NA,NA,NA,NA,NA,NA
2,empReview_36666147, Deutsche Bank,Sat Oct 03 2020 12:48:26 GMT-0700 (Pacific Daylight Time),Great place to work,Former Employee - Procurement Specialist,I worked at Deutsche Bank full-time for more than 5 years,Good company and compensation and health care benefits,Bad Management and favoritism runs rapid,4,5,3,3,5,NA,3
1,empReview_37762019, Wells Fargo,Thu Oct 29 2020 04:32:50 GMT-0700 (Pacific Daylight Time),So far so good,Current Employee - Personal Banker,I have been working at Wells Fargo full-time for more than 3 years,Benefit package and get to work in a fast paced environment,Sales pressure is still there though not explicit,4,3,4,4,4,NA,4
1,empReview_37706571, Wells Fargo,Wed Oct 28 2020 00:57:24 GMT-0700 (Pacific Daylight Time),Great training and growth,Former Employee - Phone Banker II,I worked at Wells Fargo full-time for more than 3 years,"Lots of career growth
Training and role shadowing
Great company atmosphere
Trys to be flexible",none for me right now,5,5,5,5,5,NA,5
1,empReview_37714831, Wells Fargo,Wed Oct 28 2020 05:59:03 GMT-0700 (Pacific Daylight Time),Wonderful Company,Current Employee - Customer Service,I have been working at Wells Fargo full-time,"Coaching, appreciation, equality, exclusivity, values, growth opportunities.",I don’t really have any cons,5,5,5,5,5,NA,5
1,empReview_37716319, Wells Fargo,Wed Oct 28 2020 06:35:42 GMT-0700 (Pacific Daylight Time),Great Company to work for,Former Employee - Home Loan Processor,I worked at Wells Fargo full-time for less than a year,"Great colleagues and managers, good benefits, appreciation events...",It can be stressful and a lot of work at times...but that happens in any job,5,3,4,4,4,NA,4
1,empReview_37698119, Wells Fargo,Tue Oct 27 2020 19:19:00 GMT-0700 (Pacific Daylight Time),Like working at WF,Current Employee - Fraud Analyst,I have been working at Wells Fargo full-time for more than 8 years,"Great benefits, pto, Co workers.",Career growth within is very challenging. Needs Improvement,4,4,4,3,4,NA,4
1,empReview_37704159, Wells Fargo,Tue Oct 27 2020 23:12:10 GMT-0700 (Pacific Daylight Time),Great role,Current Employee - Business Systems Consultant II,I have been working at Wells Fargo full-time for more than a year,Constantly dealing with new problems which makes the job interesting.,Believe that the salary does not match the work.,4,4,5,2,2,NA,4
1,empReview_37720549, Wells Fargo,Wed Oct 28 2020 07:43:54 GMT-0700 (Pacific Daylight Time),together well go far,Former Employee - Loan Servicing Specialist III,I worked at Wells Fargo full-time for more than 5 years,"benefits, pay, company structure, work life balance,401k","training, seating, parking, security, location",4,4,4,4,4,NA,4
1,empReview_37726007, Wells Fargo,Wed Oct 28 2020 09:50:07 GMT-0700 (Pacific Daylight Time),Not too bad,Current Employee - Teller At Wells Fargo,I have been working at Wells Fargo full-time for more than a year,People are great to work with,Management has struggled from time to time,4,4,4,4,4,NA,4
1,empReview_37636323, Wells Fargo,Mon Oct 26 2020 14:19:48 GMT-0700 (Pacific Daylight Time),Good Company,Current Employee - Relationship Manager,I have been working at Wells Fargo full-time,"Good benefit, good co workers",leadership need to change some areas,5,NA,NA,NA,NA,NA,NA
1,empReview_37672395, Wells Fargo,Tue Oct 27 2020 09:15:36 GMT-0700 (Pacific Daylight Time),Great Job,Current Employee - Team Leader,I have been working at Wells Fargo full-time for more than 3 years,"Good hours, overtime, great management","No cons, amazing job opportunity",5,5,5,5,5,NA,5
1,empReview_36776537, TD,Tue Oct 06 2020 07:26:18 GMT-0700 (Pacific Daylight Time),TD Bank former employee,Former Employee - Student,I worked at TD part-time,"Flexible schedule, and a great place to work with many great employees.",No cons at td bank.,5,5,5,5,5,NA,5
1,empReview_36770327, TD,Tue Oct 06 2020 05:12:05 GMT-0700 (Pacific Daylight Time),Good Place to Work,Former Employee - Bank Teller,I worked at TD full-time for more than a year,A lot of growth opportunity,"Hectic work environment, must be excellent working under pressure.",4,3,3,3,3,3,NA
1,empReview_37361257, TD,Mon Oct 19 2020 22:54:11 GMT-0700 (Pacific Daylight Time),Very tough company,Current Employee - Customer Experience Coordinator,I have been working at TD full-time,"Pto is great
Incentives are great
Bonuses
Lots of award potentials
Wont fire you even though 3 hr reports have been made on you","Very manager dependent
Wage is unfair
No work life balance
Higher ups don’t care about employees safety
Hard to move up unless you break your back
Wage is not negotiable 
Doesn’t matter if your store is the busy they don’t care and will try to pay you less",3,1,1,2,2,NA,5
1,empReview_36703525, TD,Sun Oct 04 2020 21:27:20 GMT-0700 (Pacific Daylight Time),Working with TD,Current Employee - Customer Service Representative,I have been working at TD part-time for more than a year,"Flexible schedule, new opportunities for promotions, great inclusive environment",Technology at TD is a little bit outdate makes it sometimes difficult,5,5,5,5,5,NA,5
1,empReview_37363850, TD,Tue Oct 20 2020 00:37:48 GMT-0700 (Pacific Daylight Time),No work life balance.,Current Employee - Store Supervisor,I have been working at TD full-time,"Room for growth.
Convenient hours.
Competitive pay.","No work life balance.
Incompetent managers.
Lack of training.
High turnover.",2,1,5,3,2,NA,2
1,empReview_37302635, TD,Sun Oct 18 2020 18:20:42 GMT-0700 (Pacific Daylight Time),It's cool for now,Current Employee - Assistant Manager,I have been working at TD full-time,Flexible schedule Good hours Fun job,They pay low for the responsibility,3,NA,NA,NA,NA,NA,NA
1,empReview_36656218, TD,Sat Oct 03 2020 05:26:52 GMT-0700 (Pacific Daylight Time),Good company to work for,Current Employee - Head Teller,I have been working at TD full-time,Good benefits. PTO. 401k. Great covid response,Not many cons I can say,5,4,5,5,4,NA,5
1,empReview_36611398, TD,Thu Oct 01 2020 22:26:02 GMT-0700 (Pacific Daylight Time),N/A,Current Employee - Bank Teller,I have been working at TD part-time,"Good Salary, good benefits, great community","No cons. Hiring process was a little long, but once you get the ball rolling you really get rolling",5,NA,NA,NA,NA,NA,NA
1,empReview_36533784, TD,Wed Sep 30 2020 06:23:30 GMT-0700 (Pacific Daylight Time),Nice work environment if you can handle fast pace,Current Employee - Teller I,I have been working at TD part-time,nice pay for a part time job....flexible hours if you work two jobs,Its hard staying full staffed,5,NA,NA,NA,NA,NA,NA
1,empReview_36476555, TD,Mon Sep 28 2020 23:15:49 GMT-0700 (Pacific Daylight Time),Great Company!,Former Employee - Bank Teller,I worked at TD full-time for less than a year,"Great team, positive culture, company cares about their employees and customers",I do not have any at the moment,5,5,5,5,5,5,NA
1,empReview_36834053, Credit Suisse,Wed Oct 07 2020 07:47:48 GMT-0700 (Pacific Daylight Time),Cool Place,Former Employee - Associate,I worked at Credit Suisse full-time,"one of the top places to work in finance, friendly people, challenging work","work life balance issue, stress caused my overworking",4,NA,NA,NA,NA,NA,NA
1,empReview_36791165, Credit Suisse,Tue Oct 06 2020 11:51:07 GMT-0700 (Pacific Daylight Time),analyst,Current Employee - Analyst,I have been working at Credit Suisse full-time,lots of opportunity to growth,hard to gain proper recognition,5,NA,NA,NA,NA,NA,NA
1,empReview_36722414, Credit Suisse,Mon Oct 05 2020 07:44:36 GMT-0700 (Pacific Daylight Time),Large company with opportunities if persistent and in focus of senior management,Former Employee - Director,I worked at Credit Suisse full-time for more than 10 years,Large sample size of different jobs and career paths; ability to mobilize internally for international experience; most of the employee base is easy to work and partner with; salary is commensurate with the job requirements in the industry.,Inability to push across big ideas in an organized fashion due to layers of organizational red tape; constant change of leadership at top levels leads to abandoned ideas and in flight projects making in tough to deliver; focus still on high cost location staff and lower cost location staff is forgotten.,4,4,3,3,4,NA,5
1,empReview_36667976, Credit Suisse,Sat Oct 03 2020 14:30:04 GMT-0700 (Pacific Daylight Time),Solid company - warm culture,Current Employee - Managing Director,I have been working at Credit Suisse full-time,"Strong collaborative culture
Mostly ""nice"" people to work with
International opportunities, especially in Switzerland","Still somewhat siloed by division and corporate function
Some parts of the bank don't have most the up to date technology solutions, especially in corporate functions",5,3,5,4,3,NA,5
1,empReview_36458686, Credit Suisse,Mon Sep 28 2020 12:47:56 GMT-0700 (Pacific Daylight Time),Good experience,Former Employee - Analyst,I worked at Credit Suisse full-time,"Good people and culture, care about employees","So-so pay versus street, lots of restructuring activities are disruptive",5,NA,NA,NA,NA,NA,NA
1,empReview_36397114, Credit Suisse,Sat Sep 26 2020 09:08:43 GMT-0700 (Pacific Daylight Time),"Great learning experience, high standards culture",Current Employee - Investment Banking Associate,I have been working at Credit Suisse full-time for less than a year,"World-class client base, exceptional talent, full-range product offering","None at this time, thankfully",5,3,5,5,4,5,NA
1,empReview_36250344, Credit Suisse,Tue Sep 22 2020 15:57:34 GMT-0700 (Pacific Daylight Time),3 year employee,Current Employee - ENO,I have been working at Credit Suisse full-time for more than 3 years,"good benefits, 5 months paid maternity leave, yearly bonuses for good performance, career growth opportunities, dedicated teams","extremely risk averse so it is hard to make processes more efficient, small teams expected to work long hours instead of hiring additional employees",4,3,5,4,5,3,NA
1,empReview_36372987, Credit Suisse,Fri Sep 25 2020 11:13:29 GMT-0700 (Pacific Daylight Time),Strong Culture,Former Employee - Investment Banking,I worked at Credit Suisse full-time for more than a year,Great access to senior management,Benefits are light relative to other banks,5,1,4,5,5,5,NA
1,empReview_36346273, Credit Suisse,Thu Sep 24 2020 18:40:13 GMT-0700 (Pacific Daylight Time),Good job,Current Employee - Investment Banking Analyst,I have been working at Credit Suisse full-time,"Very good pay, smart people","Long hours, tight deadlines and small team",4,3,5,3,4,4,NA
1,empReview_36936369, Credit Suisse,Fri Oct 09 2020 06:42:35 GMT-0700 (Pacific Daylight Time),heirarchical,Former Employee - Programmer Analyst,I worked at Credit Suisse full-time,learned a lot of excel skills,women try to put down other women; too few analysts per MD,3,1,2,5,3,NA,2
1,empReview_35039194, Société Générale,Tue Aug 18 2020 14:07:56 GMT-0700 (Pacific Daylight Time),Great employer,Former Employee - Senior Associate,I worked at Société Générale full-time,"Great managers
Good gender balance
Lots of trainings",Career progress takes too long,5,NA,NA,NA,NA,NA,NA
1,empReview_36944581, Société Générale,Fri Oct 09 2020 09:49:05 GMT-0700 (Pacific Daylight Time),Good place to learn,Former Employee - Associate,I worked at Société Générale full-time for more than a year,Smart people and good collaboration,Bureaucracy got in the way of employee morale,4,NA,NA,NA,NA,NA,NA
1,empReview_36639629, Société Générale,Fri Oct 02 2020 14:22:02 GMT-0700 (Pacific Daylight Time),nice people,Former Employee - Internship,I worked at Société Générale full-time,very nice laid back people,not a lot of structure,5,NA,NA,NA,NA,NA,NA
1,empReview_36550582, Société Générale,Wed Sep 30 2020 12:46:51 GMT-0700 (Pacific Daylight Time),SG review,Current Employee - Risk Analyst,I have been working at Société Générale full-time,"fancy office, nice people, nice equipments","French style, career path, location",4,3,2,4,3,3,NA
1,empReview_37106178, Société Générale,Tue Oct 13 2020 17:43:51 GMT-0700 (Pacific Daylight Time),Coworkers make it worth it,Current Employee - Global Markets Analyst,I have been working at Société Générale full-time for more than a year,Great people who are patient and helpful,Outdated systems and low quality data hinder various analysis,3,4,4,4,4,NA,4
1,empReview_36343449, Société Générale,Thu Sep 24 2020 16:41:59 GMT-0700 (Pacific Daylight Time),Good,Current Employee - Programmer Analyst,I have been working at Société Générale full-time,You learn a lot from this company,I can’t think of any.,4,NA,NA,NA,NA,NA,NA
1,empReview_36838617, Société Générale,Wed Oct 07 2020 09:06:24 GMT-0700 (Pacific Daylight Time),Not Good,Former Employee - Managing Director,I worked at Société Générale full-time for more than 5 years,The executive dining room was decent,"pay is terrible
people (both local and non-local) were low quality and misinformed",1,3,2,1,1,NA,2
1,empReview_35424801, Société Générale,Sat Aug 29 2020 18:08:27 GMT-0700 (Pacific Daylight Time),Great company,Former Employee - Intern,I worked at Société Générale full-time for less than a year,"Stable work, good training, not too complicated","Not paid enough, long hours at work",4,5,4,4,2,3,NA
1,empReview_35317111, Société Générale,Wed Aug 26 2020 12:22:13 GMT-0700 (Pacific Daylight Time),Great place to learn,Former Employee - Associate,I worked at Société Générale full-time,"talented co-workers, good trading systems, good place to learn the biz",comp below street standards. competition is fierce,4,5,5,4,4,4,NA
1,empReview_35274114, Société Générale,Tue Aug 25 2020 12:49:39 GMT-0700 (Pacific Daylight Time),Great place to learn,Current Employee - Vice President,I have been working at Société Générale full-time for more than 3 years,Easy to work with senior managers. Because the organization is so lean there are opportunities to get involved if you look for them.,HQ in Paris sometimes translates to not having as much autonomy to make decisions impacting local businesses. Compensation is below market I believe.,4,5,5,3,3,4,NA
2,empReview_34758043, Société Générale,Mon Aug 10 2020 05:59:17 GMT-0700 (Pacific Daylight Time),SG,Current Employee - Anonymous Employee,I have been working at Société Générale full-time for more than 10 years,"entrepreneurial environment, good place for innovation",Head office is heavy on the region and center of most of decisions,3,4,4,3,4,3,NA
2,empReview_34418350, Société Générale,Fri Jul 24 2020 10:30:13 GMT-0700 (Pacific Daylight Time),Great opportunities to grow a career,Former Employee - Transaction Manager,I worked at Société Générale full-time for more than 10 years,"Career advancement and internal / international mobility, benefits, wide variety of businesses within the Corporate & Investment Bank","As in most large FI organizations, approval processes can take quite some time",5,5,4,5,5,4,NA
2,empReview_34639445, Société Générale,Wed Aug 05 2020 13:58:18 GMT-0700 (Pacific Daylight Time),An interesting place...,Former Employee - Anonymous Employee,I worked at Société Générale full-time for more than 3 years,"Smart and hardworking worker bees. Interesting deals. Try to be creative. Structured finance-focused. Good benefits, was an early adopter of 1 day a week WFH, casual dress.  More life balance, at 50-65 hrs/week.","A lot of overseas armchair quarterbacking in US markets they are not experts in. Many at the top of the house in CIB seem ill-equipped to run businesses - good individual contributors but shouldn't be the stewards. Often felt like they threw ideas at a wall to see what stuck rather than taking time to do white papers. From a competitive standpoint, they copy what BNP, Credit Ag and Natixis do, rather than other better performing IBs. Cannot compete on cost of funds vs many competitors in the US so have to take on more aggressive businesses.",3,4,3,4,4,2,NA
2,empReview_33467290, Société Générale,Mon Jun 01 2020 15:39:46 GMT-0700 (Pacific Daylight Time),Financial Engineer,Current Employee - Financial Engineer,I have been working at Société Générale full-time for more than a year,"Company environment, and work cultur",No cons as such required to mention,5,3,4,4,4,4,NA
2,empReview_33245518, Société Générale,Mon May 18 2020 19:16:04 GMT-0700 (Pacific Daylight Time),Good to learn and as a quick career step,Current Employee - Director,I have been working at Société Générale full-time for more than 10 years,"Flexibility.
Paid time off above average.
Easy to outperform compared to other banks in NY.
Good to learn. They bring some strong technical guys from Paris.","Pays with a discount compared to the NY market and therefore attracts low local calibres or very political guys. The bank survives in NYC with expats they bring from Paris at a lower cost.
Support functions are very political. Most of talent ends up leaving due to low evolution perspectives",3,5,2,2,2,2,NA
2,empReview_33113105, Société Générale,Mon May 11 2020 03:00:20 GMT-0700 (Pacific Daylight Time),Don't Settle. Keep Looking.,Former Employee - Kyc Specialist,I worked at Société Générale full-time for more than a year,"Nice environment 
Nice coworkers 
Internal Cafeteria is decent","Poor growth opportunities.
Poor Training
Lack of consistent policy and procedures.",2,5,3,2,4,3,NA
2,empReview_32860935, Société Générale,Thu Apr 23 2020 17:02:00 GMT-0700 (Pacific Daylight Time),7/10 job,Current Employee - Investment Banking Analyst,I have been working at Société Générale full-time,Good work-life balance overall. Good people.,Tiny bonuses compared to American banks,4,NA,NA,NA,NA,NA,NA
2,empReview_32873299, Société Générale,Fri Apr 24 2020 12:41:29 GMT-0700 (Pacific Daylight Time),Not a good place for non-french,Current Employee - Associate,I have been working at Société Générale full-time for more than 3 years,"- Above average paid vacation days
- Seems like a good place if you want to stay in the comfort zone","- Almost zero opportunity of growing for non-french employees. 
- Hierarchical organization structure
- Below average bonus
- Some work is really meaningless and wasting of time",2,3,1,1,1,2,NA
2,empReview_32726944, Société Générale,Tue Apr 14 2020 12:29:31 GMT-0700 (Pacific Daylight Time),Invest in technology and talents,Former Employee - Business Analyst,I worked at Société Générale full-time for more than 3 years,The business is interesting with qualitative and loyal clients,The applications and software are quite difficult to use on a daily basis (if you have the access granted in less than one month of course),3,4,3,2,2,2,NA
2,empReview_32502829, Société Générale,Thu Mar 26 2020 17:56:38 GMT-0700 (Pacific Daylight Time),Good place to work At Soc Gen,Current Employee - Chief Engineer,I have been working at Société Générale full-time for more than 8 years,There are very Good Benefits at Socv Gen,there is a lot of geographical Fragmentation at Soc Gen,5,5,5,5,5,5,NA
