"","page","review_id","review_time_raw","review_title","employee_role","employee_history","employeer_pros","employeer_cons","employeer_rating","work_life_balance","culture_values","career_opportunities","compensation_and_benefits","senior_management","equilibre_travail_vie_privee","culture_et_valeurs","opportunites_de_carriere","remuneration_et_avantages","equipe_dirigeante"
"1","1","empReview_36373233","Fri Sep 25 2020 11:20:45 GMT-0700 (Pacific Daylight Time)","« bon »","Employé actuel - Consultante","Je travaille chez Google à temps plein","bon good bien pas de problème","rien à signaler pas de problème",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","empReview_35757860","Wed Sep 09 2020 02:17:12 GMT-0700 (Pacific Daylight Time)","« Atmosphère exceptionnel »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Projets multiples et prenant, bonne perspectives d'évolutions","Très compétitif, Nécessite d'être beaucoup impliqué",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","empReview_35698209","Mon Sep 07 2020 09:27:12 GMT-0700 (Pacific Daylight Time)","« bien »","Ancien employé - Responsable Communication","J'ai travaillé chez Google à temps plein","tickets restaurants mutuelle transports restauration","Il n'y en a quasiment pas !",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","empReview_35374617","Thu Aug 27 2020 23:53:14 GMT-0700 (Pacific Daylight Time)","« Cool »","Employé actuel - Manager","Je travaille chez Google à temps partiel","Très ouvert au travail d'équipe","Peu de responsabilités donnés concrètement",4,NA,NA,NA,NA,NA,4,4,4,4,4
"5","1","empReview_34599863","Tue Aug 04 2020 04:47:37 GMT-0700 (Pacific Daylight Time)","« Génial »","Employé actuel - Software Engineer L4","Je travaille chez Google à temps plein depuis plus de 3 ans","Bonne culture d'entreprise. Projet impactant. Collègue géniaux. Salaire.","Salaires excellents pour Paris, mais les salaires à l'étranger peuvent se montrer plus importants.",5,NA,NA,NA,NA,NA,5,5,5,5,5
"6","1","empReview_34297077","Sat Jul 18 2020 05:09:51 GMT-0700 (Pacific Daylight Time)","« Marketing Analyst »","Employé actuel - Marketing Analyst","Je travaille chez Google à temps plein depuis plus de 3 ans","Bonne ambiance ; Population jeune ; Stimulant","Charge importante ; Peu d'opportunités",4,NA,NA,NA,NA,NA,3,5,4,4,5
"7","1","empReview_33607207","Tue Jun 09 2020 11:06:36 GMT-0700 (Pacific Daylight Time)","« Correct »","Employé actuel - Ingénieur","Je travaille chez Google à temps plein","Les horaires sont vraiment libres","La pression est très importante",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","empReview_33361628","Tue May 26 2020 06:28:55 GMT-0700 (Pacific Daylight Time)","« assistante »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","convivialite de travailler chez google","lieux de travail eloigne du domicile",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","empReview_32351163","Fri Mar 13 2020 05:24:57 GMT-0700 (Pacific Daylight Time)","« Sales »","Employé actuel - Sales Specialist","Je travaille chez Google à temps plein depuis plus de 3 ans","Cloud, Public, grand entreprise , concurrent AWS et Azure","je n'ai pas noté d'inconvénient",5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"10","1","empReview_31959906","Wed Feb 19 2020 13:16:43 GMT-0800 (Pacific Standard Time)","« Top »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein plus de 3 ans","Top, super entreprise. Meilleure expérience professionnelle.","Beaucoup de reporting et trop de process par rapport au scope.",5,NA,NA,NA,NA,NA,5,5,5,5,5
"11","2","empReview_31586215","Thu Jan 30 2020 04:36:08 GMT-0800 (Pacific Standard Time)","« creation  supervisionage et corrections »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein depuis plus de 8 ans","strategies instinctives internes travail individuel et team","anglais a parfaire  specifique et social",2,NA,NA,NA,NA,NA,5,5,5,5,5
"12","2","empReview_30391481","Fri Nov 15 2019 01:28:41 GMT-0800 (Pacific Standard Time)","« Fort »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Les conditions de travail très agréables","Il n'y en a pas",5,NA,NA,NA,NA,NA,5,5,4,5,5
"13","2","empReview_29930774","Mon Oct 21 2019 08:20:49 GMT-0700 (Pacific Daylight Time)","« Environnement génial »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","Nombreux avantages (bon salaire, nourriture gratuite, massage, équipements)","Difficile à trouver à vrai dire, cloisonnement ?",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2","empReview_30412539","Sat Nov 16 2019 11:13:02 GMT-0800 (Pacific Standard Time)","« Médiocre »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","Pas tellement d’avantges que ça","Beaucoup d’inconvenient horaire chez Google",1,NA,NA,NA,NA,NA,1,1,1,1,1
"15","2","empReview_27901408","Wed Jul 10 2019 02:36:40 GMT-0700 (Pacific Daylight Time)","« à recommander »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","Très motivant, projet trop intéressents et d'actualité","Pas d'inconvénients pour le moment",2,NA,NA,NA,NA,NA,2,NA,2,2,NA
"16","2","empReview_26504319","Thu Jun 06 2019 03:00:30 GMT-0700 (Pacific Daylight Time)","« Sales Paris »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","- Bon équilibre de vie / travail
- Entreprise agile et multi culturelle
- En constante évolution, environnement très stimulant","- Organisation changeante, demande une forte capacité d'adaptation",4,NA,NA,NA,NA,NA,5,5,4,5,4
"17","2","empReview_26057966","Thu May 09 2019 06:20:08 GMT-0700 (Pacific Daylight Time)","« Une expérience enrichissante »","Employé actuel - Partner Channel Marketing Manager","Je travaille chez Google à temps plein depuis moins d'un an","- Une grande autonomie, liberté d'expression
- Bienveillance et accessibilité des collègues/managers
- Bien-être au travail : repas, sport, massage mis à disposition des employés gratuitement
- Des belles histoires à raconter, une entreprise innovante, ... 
- des équipes internationales
- un environnement et des outils de travail très ""moderne"" et flexible","- Beaucoup de sous-traitance à des agences, etc. On perd le plaisir de faire ""soi-même""
- Beaucoup de sujets stratégiques drivés par les US",5,NA,NA,NA,NA,NA,3,5,3,5,3
"18","2","empReview_25375138","Wed Mar 27 2019 10:54:31 GMT-0700 (Pacific Daylight Time)","« great »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","talented and performing team
a real culture and great values
interest of the job
great opportunities within the company","quite a lot of pressure
long hours",4,NA,NA,NA,NA,NA,4,5,5,5,5
"19","2","empReview_24103494","Tue Jan 08 2019 04:04:48 GMT-0800 (Pacific Standard Time)","« Developpeur web »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Bons tickets resto et cultures d'entreprise","Pas de cheques vacances tant pis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2","empReview_24326973","Tue Jan 22 2019 09:44:24 GMT-0800 (Pacific Standard Time)","« Tension liquide »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Salaires très compétitifs, comfort absolu, réputation en béton","Abscence de challenge personnel (la machine est si puissante), impact diffus, contrôle absolu de l'action de chacun (e.g. comptage du nombre de réunions).",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","3","empReview_24131780","Wed Jan 09 2019 12:37:23 GMT-0800 (Pacific Standard Time)","« avis »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps partiel","nombreux accès à de nombreuses choses","pas de gros inconvénient percue",4,NA,NA,NA,NA,NA,5,3,5,4,4
"22","3","empReview_23543696","Sat Nov 24 2018 02:40:11 GMT-0800 (Pacific Standard Time)","« Un parmi beaucoup »","Ancien employé - Partner Manager","J'ai travaillé chez Google à temps plein plus de 3 ans","Bon niveau de technologie, des collègues intéressant","Noté dans la masse, peu de liberté d'innover car la stratégie vient de Mountain View",4,NA,NA,NA,NA,NA,4,2,5,5,2
"23","3","empReview_23290235","Tue Nov 06 2018 08:36:40 GMT-0800 (Pacific Standard Time)","« Entreprise sympathique »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Respect
Patiente 
Écoute 
Restaurant d'entreprise","Usine vetuste, se concentrer sur son travail et rien d'autres",3,NA,NA,NA,NA,NA,2,3,3,4,4
"24","3","empReview_21675391","Fri Jul 27 2018 01:40:16 GMT-0700 (Pacific Daylight Time)","« Industry Manager »","Ancien employé - Industry Manager","J'ai travaillé chez Google à temps plein plus de 3 ans","De superbes équipes, des gens brillants avec qui il est agréable d'évoluer","Dans certains cas, un manque de connaissance ""métier"" des secteurs d'activités adressés",4,NA,NA,NA,NA,NA,4,3,4,5,5
"25","3","empReview_21644325","Wed Jul 25 2018 08:41:18 GMT-0700 (Pacific Daylight Time)","« Belle entreprise dans l'ensemble, beaucoup trop de politique »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein plus de 5 ans","Tous les perks, les collègues, l'environnement, Work Hard Play Hard, la culture de l'entreprise lorsqu'elle est respectée, les possibilités d'évolution quand on y entre tôt plus difficile ensuite, possibilité d'évolution à l'étranger, l'accès à la formation, etc.","Culture pas toujours respectée, beaucoup de politiques en interne bien plus récompensée que la méritocratie, RH, fuite de certains des meilleurs éléments en externe car manque de reconnaissance ou de possibilité d'évolution et l'entreprise ne cherche pas à les retenir. Organisation de plus en plus pyramidale avec management recruté en externe, ce qui est frustrant pour beaucoup de salariés. 
Parfois, mauvais équilibre ou répartition des tâches, certains éléments sont sous pression et vont droit au burn out, tandis que d'autres sont en vitesse de croisière - - et obtiennent promotion et honneurs... Ce qui doit être commun à toute entreprise mais s'avère décevant pour celle-ci qui semble très soucieuse de son image RH.",4,NA,NA,NA,NA,NA,2,4,4,5,3
"26","3","empReview_21453117","Thu Jul 12 2018 11:55:51 GMT-0700 (Pacific Daylight Time)","« Google Paris: administratif et politique »","Ancien employé - Client Partner","J'ai travaillé chez Google à temps plein plus d'un an","Un bon niveau de salaire, une bonne situation géographique en plein coeur de Paris, une position de leader.","Les lourdeurs administratives perturbent le travail au quotidien, on passe la plupart de son temps à faire du reporting.
Une entreprise très politique: Pour évoluer, il est plus important de ""briller"" en interne que de bien faire son travail avec ses clients.",2,NA,NA,NA,NA,NA,2,3,3,5,2
"27","3","empReview_20658069","Sat May 19 2018 08:00:04 GMT-0700 (Pacific Daylight Time)","« très bon employeur, très bonne ambiance, mais... un trop de politique. »","Employé actuel - Senior Sales Manager","Je travaille chez Google à temps plein depuis plus de 3 ans","Collègues très smart, ambiance collaborative, respect des autres, salaires attractifs, beaucoup d'avantages autres que le salaire.","Pour évoluer il faut faire beaucoup (trop) de politique. La méritocratie n'est pas toujours au rendez-vous, plus particulièrement en ce qui concerne les roles commerciaux.",4,NA,NA,NA,NA,NA,3,4,2,4,3
"28","3","empReview_19955579","Sat Mar 31 2018 11:30:35 GMT-0700 (Pacific Daylight Time)","« Tres bien travail et bonne place pour travailler »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Tres bien travail et bonne place pour travailler","Rien de Inconvénients que place calme",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","3","empReview_19910547","Wed Mar 28 2018 10:00:47 GMT-0700 (Pacific Daylight Time)","« Cool attitude et belles personnes »","Ancien employé - Product Marketing Manager","J'ai travaillé chez Google à temps partiel moins d'un an","La meilleure entreprise du monde","Ne pas travailler plus dans les beaux locaux de Paris",5,NA,NA,NA,NA,NA,5,5,5,5,5
"30","3","empReview_19912920","Wed Mar 28 2018 11:59:28 GMT-0700 (Pacific Daylight Time)","« Startup Mondialisée »","Employé actuel - ingénieur avant-vente","Je travaille chez Google à temps plein depuis plus de 5 ans","Googlers
Culture d'entreprise
Conditions de travail
Mesure de la performance à 360","Equilibre Pro/Perso
Charge de travail
Changement d'objectifs contants",5,NA,NA,NA,NA,NA,1,4,5,4,4
"31","4","empReview_19651771","Mon Mar 12 2018 13:38:42 GMT-0700 (Pacific Daylight Time)","« Une organisation désastreuse »","Ancien employé - Account Manager","J'ai travaillé chez Google à temps plein plus d'un an","Convivialité des locaux 
Free food","Mauvaise organisation, la communication interne laisse a désirer",3,NA,NA,NA,NA,NA,3,2,2,4,2
"32","4","empReview_19355084","Wed Feb 21 2018 10:07:35 GMT-0800 (Pacific Standard Time)","« Une superbe expérience dans un cadre stimulant »","Ancien employé - Rich Media Technical Specialist","J'ai travaillé chez Google à temps plein moins d'un an","- Culture Googley
- Accès aux produits en beta
- Un grand compte qui lutte pour conserver son esprit Startup
- Grande confiance accordée aux salariés dés le début","- Tendance à la Mono-culture, restez ouvert",4,NA,NA,NA,NA,NA,4,5,5,4,4
"33","4","empReview_19121980","Wed Feb 07 2018 06:47:49 GMT-0800 (Pacific Standard Time)","« Très sympa »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","On mange bien et tout!","Pas d'inconvénient à mon avis ! Travail un peu difficile peut-être.",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4","empReview_18514449","Fri Dec 29 2017 11:29:09 GMT-0800 (Pacific Standard Time)","« Un très bonne expérience pour mon premier poste. »","Employé actuel - Software Engineer","Je travaille chez Google à temps plein depuis moins d'un an","Le salaire est compétitif. Les équipes  sont jeunes, compétentes, internationales et motivées. L'environnement de travail est confortable. La  formation interne est de grande qualité.","Les équipes françaises sont parfois isolées du cœur américain de l'entreprise. Les ingénieurs sont poussés vers l'indépendance mais peu vers le management.",5,NA,NA,NA,NA,NA,5,4,4,5,5
"35","4","empReview_18427777","Wed Dec 20 2017 11:31:02 GMT-0800 (Pacific Standard Time)","« Un avis pour un accès »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Bon boulot tout le monde","Je n'en vois pas du tout",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","4","empReview_17869664","Mon Nov 13 2017 05:16:11 GMT-0800 (Pacific Standard Time)","« Super boite »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","nettoyer l'historique pour bien en profiter sinon c'est dommage","surveillance renforcée sans contrepartie sur la garantie des libertés individuelles",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","4","empReview_17771820","Tue Nov 07 2017 07:08:40 GMT-0800 (Pacific Standard Time)","« Moyen »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","Esprit cool, jeune et dynamique","Vous êtes la propriété de google",1,NA,NA,NA,NA,NA,1,1,2,3,1
"38","4","empReview_16588721","Wed Aug 30 2017 08:38:20 GMT-0700 (Pacific Daylight Time)","« Mission that matters »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein depuis plus de 5 ans","Cadre de travail,  rapidité, épanouissement","Manque parfois de structure dans l'execution",5,NA,NA,NA,NA,NA,4,5,4,5,5
"39","4","empReview_16527789","Fri Aug 25 2017 14:03:32 GMT-0700 (Pacific Daylight Time)","« Bon vivre »","Employé actuel - Customer Success Manager","Je travaille chez Google à temps plein depuis plus d'un an","Avantages , argent, bonheur, vie, entreprise","Sollicitation des autres entreprises constantes",5,NA,NA,NA,NA,NA,5,5,5,5,5
"40","4","empReview_16551228","Mon Aug 28 2017 05:58:30 GMT-0700 (Pacific Daylight Time)","« Google »","Employé actuel - Apprantice","Je travaille chez Google à temps partiel depuis plus d'un an","Primes importantes pour  certains mois","salaire de base parfois faible",4,NA,NA,NA,NA,NA,5,5,4,3,5
"41","5","empReview_16087906","Wed Jul 26 2017 16:29:26 GMT-0700 (Pacific Daylight Time)","« developpeur »","Ancien employé - Developpeur","J'ai travaillé chez Google à temps plein moins d'un an","bon salaire et bonne ambiance","grosse charge de travail parfois, trop importante",4,NA,NA,NA,NA,NA,4,4,4,4,4
"42","5","empReview_15634075","Mon Jun 26 2017 10:56:26 GMT-0700 (Pacific Daylight Time)","« faut bien choisir le job et le manager »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein plus de 5 ans","trés bon salaires et benefits, collegues trés smart, brand enviable","les jobs plus ""mainstream"" sont pas aussi sexy qu'il semblent - c´est souvent 99% de l'execution avec un minimum de reflexion strategique. le management n'est pas toujour trés inspiré.",5,NA,NA,NA,NA,NA,4,5,3,5,4
"43","5","empReview_14814756","Thu Apr 27 2017 09:09:11 GMT-0700 (Pacific Daylight Time)","« evolution professionnelle »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","C'était une expérience très enregissante","Je suis parti car je me suis trouvé face au plafond de verre",2,NA,NA,NA,NA,NA,2,2,2,1,1
"44","5","empReview_14225514","Fri Mar 17 2017 03:30:30 GMT-0700 (Pacific Daylight Time)","« Moonshot »","Intern Marketing","J'ai travaillé chez Google à  moins d'un an","Avoir un réel impact, être écouté, participer à des projets de grande envergure","Difficulté de saisir l'immensité de l'entreprise et de ses services, son organisation",5,NA,NA,NA,NA,NA,5,5,5,5,5
"45","5","empReview_14381017","Tue Mar 28 2017 09:21:36 GMT-0700 (Pacific Daylight Time)","« Belle société »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Bieres gratuites et mars à volonté","Pas de bières lights et pas de mars glacés",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5","empReview_13274879","Wed Jan 11 2017 01:14:42 GMT-0800 (Pacific Standard Time)","« Assez cool »","","J'ai travaillé chez Google à ","-Challenges
-Bonne restauration
-Bons contacts
-Bonne organisation, esprit d'équipe, management","-Beaucoup de pression
-Equilibre vie pro/privée quasi inexistant
-Peu de promotions/evolutions de carrière possibles",3,NA,NA,NA,NA,NA,1,3,3,5,2
"47","5","empReview_12760724","Tue Nov 22 2016 12:36:27 GMT-0800 (Pacific Standard Time)","« Bonne planque »","","J'ai travaillé chez Google à ","Salaire. Rythme de travail, pression inexistante. Perks/environnement.","Boring. Pas de challenge. Pas d'impact véritable.",3,NA,NA,NA,NA,NA,5,4,3,4,5
"48","5","empReview_10407859","Wed Apr 27 2016 03:30:21 GMT-0700 (Pacific Daylight Time)","« Super »","Inventory","Je travaille chez Google à ","L'argent est avantageux cependant j'aime les relations entres les personnes qui s'installent au sein de cette boîte de travail c'est s","Les heures longues du fait que ce travail est à temps complet et ainsi, c'est difficile pour une personne comme moi de tenir",5,NA,NA,NA,NA,NA,5,5,5,5,5
"49","5","empReview_9625238","Fri Feb 19 2016 03:19:39 GMT-0800 (Pacific Standard Time)","« Bien »","Ancien employé - Chercheur scientifique","J'ai travaillé chez Google à temps plein moins d'un an","Bon salaire , bonne ambiance , cadre plaisant grande compagnie , ambiance de travail idéale permettant de s'épanouir pleinement , horaire convenable","Demande beaucoup d investissement personnel car beaucoup de concurrence tout de même , assez dur d y rentrer et perspective d'évolution lente",4,NA,NA,NA,NA,NA,3,4,3,4,3
"50","5","empReview_8383899","Wed Oct 21 2015 13:18:04 GMT-0700 (Pacific Daylight Time)","« agent polyvalent »","Employé actuel - agent polyvalent","Je travaille chez Google à temps plein depuis plus de 3 ans","Très bonne performance pour les employés","Travail de bonne heure",5,NA,NA,NA,NA,NA,5,5,4,3,5
